"variable","count_coef"
"(Intercept)",3.13757637808933
"afford1",-0.0815704604220012
"healthy1",0.0854871665440106
"access1",-0.130633170271775
"locally_grown1",0.0109560276881939
"local_econ1",0.0423041466976638
"social_resp1",-0.0183298003816558
"organic1",0.0155709639674781
"income_weekly",2.44009374370074e-06
"rural",-0.134757326016369
"Q53",0.137937042298662
"Q54",0.0967579395695573
"Q55",-0.0207940035082149
"Q56",-0.0223096857275358
"Q57",-0.0991183029475325
"hh_size",0.102004657929429
"Log(theta)",0.483206954680056
