"variable","count_coef"
"(Intercept)",3.81139383436826
"afford1",-0.130970297623784
"healthy1",-0.0983964242935238
"access1",-0.0694946441783405
"locally_grown1",0.0523069442784712
"local_econ1",0.0378850686921828
"social_resp1",0.0925563743878252
"organic1",0.053894256595876
"income_weekly",5.39052644832769e-05
"rural",-0.14232038606799
"Q53",-0.027411772058284
"Q54",-0.0419326553649445
"Q55",-0.16210933341392
"Q56",-0.279865511023584
"Q57",-0.375741125401523
"hh_size",0.050797925528784
"Log(theta)",0.526783798601082
