"variable","count_coef"
"(Intercept)",3.23018820526716
"afford1",-0.183304293887405
"healthy1",-0.0741578919620381
"access1",-0.0119074577716376
"locally_grown1",0.143601791260975
"local_econ1",-0.0369970425605647
"social_resp1",-0.00129809339508348
"organic1",0.0115012090362823
"income_weekly",-2.55838143235888e-05
"rural",-0.0211805873237445
"Q53",0.111778603269046
"Q54",0.109668478367784
"Q55",-0.0986468304215178
"Q56",-0.173071189462578
"Q57",-0.286949438167157
"hh_size",0.0967655321889459
"Log(theta)",0.627126426811072
