"variable","zero_coef"
"(Intercept)",-1.19545212926129
"Appalachia",-0.156719516334727
"Delta",-1.17264786339713
"GL_Midwest",0.0753851825128304
"Heartland",-0.661156681755366
"RemoteAreas",-0.837909373119918
"NorthCentral",-0.41914832776156
"Northwest",0.0100356621216894
"RioGrande",-0.589748831311771
"Southeast",-0.782903436051606
"Southwest",0.0242491352643629
"rural",-0.417916201380792
