"variable","count_coef"
"(Intercept)",3.81384170419571
"afford1",-0.168022327148518
"healthy1",-0.0195720108099118
"access1",-0.241298843946744
"locally_grown1",0.0228161531878089
"local_econ1",-0.0962820156767177
"social_resp1",-0.0627596939345213
"organic1",0.0998411641695299
"income_weekly",-9.50011572454978e-06
"rural",-0.12523136801297
"Q53",-0.301554790959481
"Q54",-0.121666219296615
"Q55",-0.509315689691352
"Q56",-0.557150066503956
"Q57",-0.602818217577713
"hh_size",0.0399379335143275
"Log(theta)",0.556875032359969
