"","ZCTA","zip_code","dense"
"12558","37902",37929,5221.39172254078
"12559","37902",37995,5221.39172254078
"12560","37902",37902,5221.39172254078
"12561","37909",37909,2477.46329065222
"12562","37912",37912,2084.48263832256
"12563","37914",37914,526.710799227675
"12564","37915",37915,3249.83006475941
"12565","37916",37916,10482.9413168268
"12566","37917",37917,2708.74789687591
"12567","37918",37918,1330.44833288078
"12568","37919",37919,1643.48956887776
"12569","37920",37998,601.795818722564
"12570","37920",37930,601.795818722564
"12571","37920",37920,601.795818722564
"12572","37921",37927,1827.85121108606
"12573","37921",37939,1827.85121108606
"12574","37921",37933,1827.85121108606
"12575","37921",37928,1827.85121108606
"12576","37921",37996,1827.85121108606
"12577","37921",37940,1827.85121108606
"12578","37921",37997,1827.85121108606
"12579","37921",37921,1827.85121108606
"12580","37921",37950,1827.85121108606
"12581","37922",37922,1407.04539492888
"12582","37923",37923,2784.54200043619
"12583","37924",37924,526.554202972738
"12584","37924",37901,526.554202972738
"12585","37931",37931,1098.09378535401
"12586","37932",37932,804.663361602426
"12587","37934",37934,1620.4044749293
"12588","37938",37938,522.303914171347
"12589","38001",38001,62.4617274853735
"12590","38002",38014,377.2622719087
"12591","38002",38002,377.2622719087
"12592","38004",38004,427.65280742901
"12593","38004",38071,427.65280742901
"12594","38006",38336,52.9270950492229
"12595","38006",38006,52.9270950492229
"12596","38007",38007,0
"12597","38008",38008,60.8395511977838
"12598","38011",38011,166.41252163717
"12599","38012",38012,47.9456191272609
"12600","38015",38015,52.3605677740999
"12601","38016",38016,2450.73832207286
"12602","38017",38027,688.511531785173
"12603","38017",38017,688.511531785173
"12604","38018",38088,2055.76867592098
"12605","38018",38018,2055.76867592098
"12606","38019",38019,112.036637883516
"12607","38021",38021,10.3827277683675
"12608","38023",38023,70.8073108080357
"12609","38024",38024,177.29963442764
"12610","38024",38025,177.29963442764
"12611","38028",38028,130.141634449507
"12612","38029",38029,254.245127339229
"12613","38030",38030,1.52771074539876
"12614","38034",38034,32.7051894896994
"12615","38036",38036,689.71259594855
"12616","38037",38037,33.6697435606173
"12617","38039",38039,20.4723143395638
"12618","38040",38040,35.7062706554082
"12619","38041",38041,42.3821960923652
"12620","38042",38042,8.78017003104215
"12621","38044",38044,15.540127514085
"12622","38046",38046,102.398626383866
"12623","38047",38047,13.7642943048395
"12624","38049",38049,38.7580279736415
"12625","38050",38050,730.649409939278
"12626","38052",38052,28.2945963167881
"12627","38053",38055,156.099654750182
"12628","38053",38053,156.099654750182
"12629","38054",38054,436.583477717027
"12630","38057",38057,31.3230348645998
"12631","38058",38058,420.383096828603
"12632","38059",38059,67.2417072804277
"12633","38060",38060,275.348634149451
"12634","38061",38061,14.7547019421141
"12635","38063",38063,55.9223824807653
"12636","38066",38066,64.4162716584097
"12637","38067",38067,32.0472978854271
"12638","38068",38010,41.9511734865095
"12639","38068",38068,41.9511734865095
"12640","38068",38045,41.9511734865095
"12641","38069",38069,18.3774469707909
"12642","38070",38070,52.1966992629051
"12643","38075",38075,52.0359111505637
"12644","38076",38048,30.6839171568175
"12645","38076",38076,30.6839171568175
"12646","38077",38077,0
"12647","38079",38079,40.2731017985327
"12648","38080",38080,17.8711987451909
"12649","38103",38103,5286.33110815487
"12650","38103",38148,5286.33110815487
"12651","38103",38150,5286.33110815487
"12652","38103",38173,5286.33110815487
"12653","38103",38101,5286.33110815487
"12654","38103",38159,5286.33110815487
"12655","38104",38113,4629.49023249816
"12656","38104",38104,4629.49023249816
"12657","38105",37544,3047.44607702396
"12658","38105",38105,3047.44607702396
"12659","38106",38106,2099.1440127423
"12660","38107",38107,2615.86819339686
"12661","38108",38108,2435.76647582868
"12662","38108",37501,2435.76647582868
"12663","38109",38109,732.948141808772
"12664","38111",38111,4430.9910923717
"12665","38112",38112,3495.46942186693
"12666","38114",38114,2690.44202969888
"12667","38115",38115,4296.65283142509
"12668","38116",38116,2108.07337547234
"12669","38117",38117,2803.90507074356
"12670","38118",38118,1285.39879619333
"12671","38119",38119,2533.12856779708
"12672","38120",38120,1377.1691478672
"12673","38122",38122,3712.92001763348
"12674","38125",38125,2251.89282508838
"12675","38126",38126,3080.37094802039
"12676","38127",38193,1047.38209913897
"12677","38127",38197,1047.38209913897
"12678","38127",38145,1047.38209913897
"12679","38127",38182,1047.38209913897
"12680","38127",38130,1047.38209913897
"12681","38127",38184,1047.38209913897
"12682","38127",38168,1047.38209913897
"12683","38127",38194,1047.38209913897
"12684","38127",38177,1047.38209913897
"12685","38127",38136,1047.38209913897
"12686","38127",38137,1047.38209913897
"12687","38127",38166,1047.38209913897
"12688","38127",38124,1047.38209913897
"12689","38127",38174,1047.38209913897
"12690","38127",38181,1047.38209913897
"12691","38127",38183,1047.38209913897
"12692","38127",38188,1047.38209913897
"12693","38127",38127,1047.38209913897
"12694","38127",38167,1047.38209913897
"12695","38127",38175,1047.38209913897
"12696","38127",38190,1047.38209913897
"12697","38127",38163,1047.38209913897
"12698","38127",38157,1047.38209913897
"12699","38127",38161,1047.38209913897
"12700","38127",38186,1047.38209913897
"12701","38127",38151,1047.38209913897
"12702","38127",38187,1047.38209913897
"12703","38127",38083,1047.38209913897
"12704","38128",38128,1862.55961834193
"12705","38131",38131,0
"12706","38132",38132,45.0135515483309
"12707","38133",38133,1629.09422607555
"12708","38134",38134,2287.94521015559
"12709","38135",38135,2365.95120149233
"12710","38138",38138,2139.33067408818
"12711","38139",38139,1872.41532748356
"12712","38141",38141,3043.90433286859
"12713","38152",38152,5122.14318309887
"12714","38201",38201,72.8047111927067
"12715","38220",38220,47.5046605954066
"12716","38221",38221,28.0868898632224
"12717","38222",38222,27.5333726983026
"12718","38224",38224,15.4185492447642
"12719","38225",38225,58.8859769284438
"12720","38226",38226,10.6593202262479
"12721","38229",38229,41.2130306713866
"12722","38230",38230,43.2785475684065
"12723","38231",38231,34.3905411461162
"12724","38232",38232,43.5250509600058
"12725","38233",38233,30.1321812000154
"12726","38235",38235,150.78737298147
"12727","38236",38236,23.6120740949049
"12728","38237",38237,110.575865748556
"12729","38237",38238,110.575865748556
"12730","38240",38240,20.68179896937
"12731","38241",38241,14.1667411370705
"12732","38242",38242,111.809711645505
"12733","38242",38223,111.809711645505
"12734","38251",38251,39.0689410526969
"12735","38253",38253,18.1401753758734
"12736","38254",38254,0
"12737","38255",38255,47.8797557592712
"12738","38256",38256,44.2209355585734
"12739","38257",38257,75.8892927604037
"12740","38258",38258,42.7786578485628
"12741","38259",38259,24.6457752922766
"12742","38260",38271,53.8522833462294
"12743","38260",38260,53.8522833462294
"12744","38261",38261,92.355468000895
"12745","38261",38281,92.355468000895
"12746","38301",38302,220.924064707924
"12747","38301",38303,220.924064707924
"12748","38301",38314,220.924064707924
"12749","38301",38308,220.924064707924
"12750","38301",38301,220.924064707924
"12751","38305",38378,416.916679292165
"12752","38305",38305,416.916679292165
"12753","38310",38310,62.4150524009239
"12754","38311",38311,13.715475705568
"12755","38313",38313,47.7801035517111
"12756","38315",38315,35.2072994391753
"12757","38316",38346,49.6283555890222
"12758","38316",38316,49.6283555890222
"12759","38317",38317,65.8110606723021
"12760","38318",38318,12.5878226517369
"12761","38320",38320,71.4037506202946
"12762","38321",38321,28.6195471487531
"12763","38326",38326,60.2594401527255
"12764","38327",38327,288.121194547025
"12765","38328",38328,33.7293152602855
"12766","38329",38329,29.843800609977
"12767","38330",38330,59.89289717541
"12768","38330",38389,59.89289717541
"12769","38332",38332,22.066246108377
"12770","38333",38333,10.5143441085736
"12771","38334",38334,35.8644080377666
"12772","38337",38337,50.9650858994296
"12773","38339",38339,23.3894160616168
"12774","38340",38377,70.6339947752818
"12775","38340",38340,70.6339947752818
"12776","38341",38341,18.9406729150332
"12777","38342",38342,34.8691850015379
"12778","38343",38343,110.366507108184
"12779","38343",38338,110.366507108184
"12780","38344",38344,53.0209160068508
"12781","38345",38345,29.3452018444008
"12782","38347",38347,109.197633569055
"12783","38348",38348,18.272813950509
"12784","38351",38351,86.3288048558033
"12785","38352",38352,34.4712753062699
"12786","38355",38355,220.506762118419
"12787","38356",38356,32.9236232098205
"12788","38357",38357,51.4764627188628
"12789","38358",38358,151.357919496543
