"","category","mean","SD"
"1","Q21_1",4.34794520547945,1.65649815901964
"2","Q21_2",3.81369863013699,1.87620401404892
"3","Q21_12",4.79178082191781,1.57955284956732
"4","Q21_13",5.93698630136986,1.31511780792176
"5","Q21_14",4.15342465753425,1.69469779079858
"6","Q21_16",3.59452054794521,2.04213113277533
"7","Q21_15",5.41643835616438,1.48499950962272
"8","Q22_6",5,1.60185332222837
"9","Q22_8",4.75616438356164,1.71074386986726
