"","region","ch_1","ch_2","ch_3","ch_4","ch_5","ch_6","ch_7","ch_8","ch_9","ch_10","ch_11","ch_12"
"1","Appalachia",70.4827586206897,36.514367816092,4.58045977011494,9.75574712643678,11.1120689655172,20.4885057471264,8.11494252873563,4.3764367816092,1.09195402298851,1.13793103448276,3.95689655172414,5.9051724137931
"2","Delta",90.0534759358289,22.5828877005348,6.58288770053476,8.06417112299465,11.3101604278075,19.6791443850267,9.02139037433155,2.37433155080214,0.855614973262032,0.802139037433155,2.80213903743316,6.62032085561497
"3","GL_Midwest",64.7017543859649,41.6337719298246,8.11184210526316,10.1162280701754,11.9188596491228,17.0745614035088,11.030701754386,4.33771929824561,2.29385964912281,2.41447368421053,4.1359649122807,6.81798245614035
"4","Heartland",84.1320754716981,32.9433962264151,4.27358490566038,10.7122641509434,10.6839622641509,21.3820754716981,9.22641509433962,3.56132075471698,1.86320754716981,2.08962264150943,2.65566037735849,7.04245283018868
"5","NorthCentral",71.3882352941176,42.7176470588235,9.52941176470588,11.5764705882353,13.8823529411765,15.2235294117647,12.7058823529412,5.05882352941176,3.91764705882353,3.82352941176471,5.17647058823529,7.68235294117647
"6","Northeast",72.3038674033149,48.9053867403315,11.9122928176796,10.6512430939227,18.1602209944751,17.7334254143646,11.1982044198895,5.72582872928177,3.16919889502762,3.03936464088398,6.08908839779006,10.6277624309392
"7","Northwest",69.1771771771772,65.2132132132132,13.2642642642643,10.8708708708709,12.8798798798799,10.4144144144144,11.5885885885886,5.17417417417417,4.11711711711712,3.88888888888889,8.11711711711712,10.5165165165165
"8","RioGrande",72.8168604651163,46.2063953488372,10.656976744186,10.2122093023256,15.5348837209302,15.0755813953488,7.89244186046512,4.09302325581395,2.1453488372093,1.21511627906977,6.26453488372093,9.80523255813953
"9","Southeast",76.3245614035088,46.4298245614035,6.03508771929825,6.35964912280702,8.7719298245614,15.5,7.7719298245614,4.09649122807018,1.40350877192982,0.605263157894737,5.13157894736842,5.28947368421053
"10","Southwest",66.8086419753086,52.1255144032922,16.4691358024691,9.2962962962963,15.3909465020576,11.9094650205761,13.7407407407407,5.61522633744856,4.06995884773663,4.02469135802469,6.18106995884774,8.84362139917696
