"","count_1","count_2","count_3","count_4","count_5","count_6","count_7","sum_vars","chan"
"1",7.47569560844787,6.54821767795284,10.1575595038552,30.0145267627668,24.036205162588,4.07866800759861,17.6891272767907,8949,"1"
"2",7.61536409709256,6.65510802880768,10.1226993865031,29.8346225660176,24.3398239530542,3.93438250200053,17.4979994665244,7498,"2"
"3",9.67213114754098,14.9180327868852,11.2295081967213,23.1967213114754,25.8606557377049,4.79508196721311,10.327868852459,2440,"3"
"4",7.76278951387121,7.63553066938152,11.2242300839908,29.5749554594044,22.5502672435734,4.04683125477221,17.2053957750064,3929,"4"
"5",8.07739557739558,10.3808353808354,10.1044226044226,27.2727272727273,24.6007371007371,4.60687960687961,14.9570024570025,3256,"5"
"6",7.93185565121817,6.35647554497161,10.5147462905294,30.6832753251511,23.2460157538011,4.06667887891555,17.2009525554131,5459,"6"
"7",9.04962698670126,10.1200129743756,11.0930911449886,26.8245215698995,24.4891339604282,4.44372364579955,13.9798897178073,3083,"7"
"8",12.9085872576177,11.191135734072,13.0193905817175,24.1551246537396,24.2659279778393,3.98891966759003,10.4709141274238,1805,"8"
"9",13.4640522875817,16.8627450980392,14.3790849673203,21.0457516339869,23.7908496732026,3.92156862745098,6.5359477124183,765,"9"
"10",13.3435582822086,18.8650306748466,13.1901840490798,18.8650306748466,23.7730061349693,4.9079754601227,7.05521472392638,652,"10"
"11",11.5490375802017,15.5820348304308,12.282309807516,21.173235563703,24.3813015582035,4.67461044912924,10.3574702108158,1091,"11"
"12",9.74576271186441,9.09387222946545,12.0273794002608,26.6623207301173,23.6962190352021,4.62842242503259,14.1460234680574,3068,"12"
