"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access"
"1","Regression_1",0.287329920461633,-8.39493268989062e-05,-0.0201510475565363,0.0233152467803848,-0.0396972359618799,-0.0354392259849261,-0.0331155627656106,0.0176127600813397,-0.0189773313528996
"2","Regression_10",0.00422165909866295,1.66216108975861e-07,0.00195521639295974,0.000937172893649347,-0.00171034072651811,-0.00209780349055394,-0.00101680195878409,-0.00154051196516598,-0.00133738704176411
"3","Regression_11",0.0172422185495608,-1.82442983215332e-06,-0.00197335079855452,0.0161452964579511,-0.00624180988078045,-0.00641496851590651,-0.00404473573002284,-0.00181637020731671,-0.00492621299825461
"4","Regression_12",0.0188137305780985,-2.38287967064337e-06,0.000140536148436411,0.00819824853189992,-0.000101034574250776,-0.0106833054918703,0.000464228599488596,-0.00069006705379935,-0.00288853409987258
"5","Regression_13",0.0742172403426104,-1.87419495820972e-05,-0.00220415836489753,0.00918275112413054,-0.0125140112464304,-0.0209949458684437,0.00429208881145103,0.00878132449143028,-0.0103221747883266
"6","Regression_14",0.0363469098036388,-6.29009897989121e-06,0.00610020708393867,0.00386082988372149,-0.00416339281747901,-0.0131913466355738,-0.000550718004197516,-0.000842596550171154,-0.00600614692517323
"7","Regression_2",0.0860478301407072,-2.24297817413682e-05,0.00961681777818089,0.00427952431549489,-0.0117958664971919,-0.0248916374072828,0.00172615789730264,0.00857255119557614,-0.0119069178577503
"8","Regression_3",0.0403368867767527,-4.0263935509996e-06,-0.00209269051423184,0.0136038186106936,-0.00983591595892833,-0.0192125858476245,-0.00912953716339423,-0.00122601160519237,-0.00803108623547538
"9","Regression_4",0.0217184419725428,-1.17714478508794e-05,0.000448823880566002,0.00779747077896783,0.00123623573110619,-0.000449571549825927,0.00324711796537278,0.00751184692792094,0.00297958222358879
"10","Regression_5",0.0229543740569267,-4.00697624788453e-06,-0.000415143117251585,0.0199041727044976,-0.000469736999161939,-0.0169390987293304,0.00580831148425515,0.00685657450445872,0.00129830675997794
"11","Regression_6",0.0885861530330763,-2.233327929281e-05,-0.00530441047717379,-0.0045103251923216,-0.00952429570717558,-0.022890420537788,-0.00466278233693089,0.00130349944394311,-0.0121558759206031
"12","Regression_7",0.027474429528443,-7.35127739760208e-06,-0.00169676962770522,0.00351702034538533,-0.00610288679757223,-0.00237246634866925,-0.00370239300820283,-0.00316537292825235,0.000768459615817278
"13","Regression_8",0.00905851498134944,-2.51979005392258e-06,0.00194065855354182,0.000472453982877743,0.00346643537681467,-0.00647846913678059,0.00533702615217044,0.000591780976687672,-0.000993961361638695
"14","Regression_9",0.00281003641426644,-2.61199663499592e-07,0.000876781998366127,0.00159566971425239,-0.000708766062728967,-0.00114720664121719,0.000104635720926114,-0.000905198192461371,-0.00132992161806034
