"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","rucc","Adjusted_R2"
"1","Regression_1",1.26693914479158e-08,2.50432600079622e-11,0.465264719597203,0.487405256681416,0.0868087947938828,0.26298553338761,0.127827180682318,0.595420416564573,0.403004953744024,0.934671588712349,0.203142788122324
"2","Regression_10",0.011843980549504,0.709566514809542,0.0424912799370729,0.420387335784204,0.0334996765597124,0.0606905859835662,0.179747325887571,0.183800511827754,0.0950241678834159,0.901867481410037,0.0836262528948408
"3","Regression_11",0.0482620608496272,0.530085357494692,0.594195056976265,0.00100787675220928,0.069101159010305,0.112611760356602,0.181095112291208,0.794708534858512,0.100417795366735,0.057710672630652,0.106274653118839
"4","Regression_12",0.000500522979939885,0.0530381783528797,0.946698720759821,0.0431544561701913,0.939973898031482,0.00898804374823365,0.8361665978034,0.802408022750801,0.348001152260864,0.191435513125154,0.0674539210516237
"5","Regression_13",1.00281214232209e-05,5.33258037475407e-06,0.796754091985407,0.405907022526442,0.101543350276298,0.0375744278455784,0.555506882960296,0.397730491465823,0.151274831004297,0.493470624987249,0.108309173122535
"6","Regression_14",0.0013172188263831,0.0259002973268462,0.312477370276167,0.599260418270452,0.416564333137932,0.0436208638228363,0.888140842580467,0.953113948459605,0.194402982630981,0.341087413983947,0.0356181562088547
"7","Regression_2",3.39180902845987e-05,1.38263379693522e-05,0.423538930757312,0.765089380667952,0.239320442673556,0.096100133070413,0.841207845706567,0.602697323710316,0.270829181297907,0.363208430846661,0.0748944627610939
"8","Regression_3",0.000282231175876494,0.0913131380507533,0.78873481259079,0.10622103123543,0.084965086537275,0.0273347982946093,0.106375501678091,0.808367162113225,0.208023310412497,0.111266302176667,0.067991144032993
"9","Regression_4",0.0772553655160941,8.25645091003437e-05,0.950985519301846,0.338896971548609,0.818091848746057,0.930292114010927,0.541724064667012,0.34534979470808,0.606173016446835,0.769816010357624,0.0457805433225341
"10","Regression_5",0.00501146609046183,0.0444460028781326,0.932928070587717,0.000571208210152834,0.899847568110513,0.00214312219671165,0.116221495568817,0.234933598808229,0.726357359915826,0.832916104503767,0.112655713516714
"11","Regression_6",1.07849626306721e-07,4.12105212552394e-08,0.516924220873971,0.65051562053572,0.200156140156796,0.0140441120002339,0.466447612088071,0.82452737644338,0.0673105568280558,0.118480853021595,0.152557225596548
"12","Regression_7",0.0597708814872697,0.0347927817709585,0.790158372201261,0.69197114739719,0.317842890195772,0.672351787004149,0.483884625103403,0.770957073271093,0.975684378074699,0.192137592409964,0.00977854939942435
"13","Regression_8",0.132178934051882,0.0983983548028705,0.613260085192189,0.913682007663279,0.30610859679791,0.181254197072513,0.0838621650458288,0.941183307261724,0.809651295176656,0.419931394356086,-0.00292357584297154
"14","Regression_9",0.206036804681282,0.674667672488372,0.454580391415488,0.258896773472236,0.472134977902673,0.366426449162971,0.916845203734367,0.537029689985426,0.155536953039865,0.654459446823487,0.00731510105973121
