"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access"
"1","Regression_1",63.0657522475322,0.00805697784142969,2.74645233832831,-3.23085691061481,-3.39083108080095,-2.4571701273624,-2.8838065994657,-3.32264305129469,1.69081406946433
"2","Regression_10",2.95707865450611,0.0013391717177641,0.123874573288471,2.00068779319486,0.229483922566125,-3.07107868262057,0.0255537901097305,-0.211591006175702,-1.33420433203249
"3","Regression_11",1.99281383675966,0.00344604633977923,1.21295560478341,2.82116239307441,0.468603074197099,-4.30694637097324,1.32485352949502,0.437041323915503,-0.244087035529689
"4","Regression_12",6.16949574352984,0.00288291794158354,1.78824006912682,1.66929084787303,1.68559376976608,-3.88409332501204,1.39208302104199,1.18679983956491,-1.93851569723035
"5","Regression_13",12.6356714542378,0.00694556763738436,-0.377667858348116,1.34939808402813,1.2735618281557,-2.68557285400508,-2.26816007615829,0.712875113093105,4.30485387399651
"6","Regression_14",4.95609903967635,0.0076449967799506,5.36173307205718,1.65644741125285,2.01478464894133,0.867939198760323,-2.12402911098594,1.25136821738037,1.76593353188691
"7","Regression_2",19.3101082238357,0.0106798747504311,7.65047941518758,-1.53600507169162,3.32947600387346,6.22414841517766,3.86409541621695,0.87415987778166,4.69698721141481
"8","Regression_3",7.48594260676522,0.00495069440996023,0.457473760164259,12.3572927883637,2.51795578829873,-9.74002864056286,2.4817714010839,2.18345597267742,-2.59416164906914
"9","Regression_4",15.8718029046081,0.00125854052300918,-0.335026531626167,-0.194954430141389,-1.4822862629848,-4.81556697868516,-3.68456695529173,-1.8193943162287,-1.4479894971365
"10","Regression_5",11.2509211605323,0.005426514630207,-0.886286069173075,6.58707467751183,-0.381682122149563,-5.42311031735789,-1.25891926375561,2.73182872070871,-1.94690911477431
"11","Regression_6",19.5471548353198,-0.000569587335041218,1.07800380716538,-1.69950146343745,-1.3627017545687,1.18687134807345,-2.47719931081347,-1.93877413272084,-3.49663834634488
"12","Regression_7",8.96820683210844,0.00308307973598536,1.96447162860872,4.65082347937776,-0.361405934614302,-4.00736633672695,-0.615244597547944,-0.493108683693438,-1.06320893996122
"13","Regression_8",5.29885886054591,0.0014090458950244,2.62450528182757,3.31815060220779,0.642323263263268,-4.32139081875266,0.9639245430419,-0.644424754334866,-2.12351086559711
"14","Regression_9",3.20480977789157,0.00142775603782083,0.438010070864061,1.79830797817055,0.286286296262556,-3.25285775194274,0.280780785122698,0.0813476218986915,-1.75067858285418
