"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","rucc","Adjusted_R2"
"1","Regression_1",6.35393899926476e-13,2.00328025358564e-10,0.681534929680616,0.552873464641575,0.215454226326266,0.404448246814363,0.395639803106882,0.355866924711928,0.767831714458481,3.43825475304808e-10,0.0179394439723336
"2","Regression_10",0.000922256821524816,4.68897913781973e-09,0.740173735721122,0.000805552472633217,0.581659099909619,2.72728115275421e-07,0.976147044452386,0.776974265179437,0.00528910167574889,0.0496173373754414,0.047708532031049
"3","Regression_11",0.182907554176039,1.01545402035443e-12,0.247583447092588,0.0282184503893685,0.599107171486016,0.000794609996262478,0.162402047384594,0.70677447098296,0.857338971536164,0.0629124387429364,0.032898915977567
"4","Regression_12",0.00325087776194738,1.04113997235261e-08,0.120529173009482,0.218641519481998,0.108350022402411,0.00381100127422877,0.159675796500864,0.381648842501751,0.070987611601061,0.215127550801937,0.0268166615584027
"5","Regression_13",9.5368309487959e-05,2.00121102573241e-25,0.807416617143582,0.449754867600463,0.39612066905869,0.135097848446038,0.0913162405091125,0.718222857525298,0.0028490007153867,0.778926045320759,0.0356292934815118
"6","Regression_14",0.160120981199606,2.04518737769784e-35,0.000586674245684664,0.307565102802568,0.156781813676648,0.637709159258613,0.0918955438120034,0.50726474735267,0.200853088326808,0.245790915956209,0.0490448172910775
"7","Regression_2",6.72763285009319e-07,6.18872243399482e-24,0.000889624326231247,0.490806060464443,0.0973769146905811,0.0138523273454645,0.059510767647638,0.682136904593902,0.0196023254068251,0.000114267322101957,0.0388402983173387
"8","Regression_3",0.000142339318863186,2.34211943847802e-17,0.587635625286428,1.21536626195999e-16,0.0249461961273457,9.95099883247805e-11,0.0260254303755836,0.133970650697988,0.0367785400546163,8.83113353925116e-05,0.113975904820831
"9","Regression_4",1.08391148541895e-17,0.0005298895840105,0.690759549188583,0.867373957660863,0.0733880440110811,2.48704856188109e-06,1.39642974161909e-06,0.0934502905417088,0.0716543094225303,0.44065084657988,0.0182339153826953
"10","Regression_5",0.000563284696689022,1.02291610486651e-13,0.642630871483804,0.00076225775876241,0.831944321899098,0.00585570771352843,0.376858482769394,0.182967965598122,0.217317731181447,0.473293920176975,0.0351872760338556
"11","Regression_6",6.23200006930691e-12,0.546378276115052,0.504528860920433,0.284406408253029,0.222446761426965,0.4830521079494,0.0265774595581993,0.195715788267806,0.00222913685455449,0.00939579547429585,0.00545135761178439
"12","Regression_7",0.000102722664605808,4.19979634024492e-09,0.108955669690056,0.000876537473090663,0.777301948927594,0.00438032378213015,0.540397594126255,0.758852080002052,0.351367755454528,0.354115574635448,0.0289410189307657
"13","Regression_8",0.0001493459191781,5.8179611344101e-06,0.000424678317616441,6.22317368369793e-05,0.330269871682092,2.00615152069927e-07,0.117063419681946,0.476002952559548,0.00131062362180752,0.526580948756993,0.056985988364124
"14","Regression_9",0.00359133347707239,3.93007678152592e-09,0.4442160973135,0.0058273309910757,0.578460159604275,6.45380081027583e-07,0.564271830403528,0.896561392528995,0.000746020836754243,0.635418439723956,0.0455229938070978
