"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","Adjusted_R2"
"1","Regression_1",4.74453489378703e-05,0.130221600527128,0.290171585123218,0.97380108234572,0.330111028724646,0.00855340517057982,0.0772133707983102,0.195201931173406,0.379295462999106,0.063895149885492
"2","Regression_10",0.0217420907597915,0.206374915889043,0.0136094571006513,0.0133303525379869,0.0955257302616509,0.0139843030343594,0.168258931614912,0.282971303626432,0.290352369540297,0.151855484186571
"3","Regression_11",0.168100867277805,0.0646974357391417,0.574067479379932,2.02611045097899e-05,0.215255479479564,0.122279772827647,0.193277558673984,0.592882694919634,0.681405475917513,0.142245595640655
"4","Regression_12",0.659173898714547,2.8134889864389e-05,0.195368291119294,0.0337360253490389,0.268734679054127,0.157826404716915,0.432145122862327,0.819651038560726,0.877177008891366,0.132409158918609
"5","Regression_13",0.0368845751327352,0.640650221435644,0.64853938881314,0.447880545177143,0.77594958805667,0.677639835833403,0.280084888021592,0.254722381181622,0.910561143181979,-0.0174158736893844
"6","Regression_14",0.782817448968223,4.08164760274745e-05,0.255238643509377,0.691782674183106,0.275254888464666,0.576854281467896,0.867097418488353,0.522828098689508,0.72148497202252,0.0740944311934106
"7","Regression_2",0.000424789141935014,0.364352967002891,0.578105448912995,0.0162556425930853,0.910576748873928,0.122925690779586,0.454232218179383,0.872062887450711,0.261930926340416,0.00250896331509687
"8","Regression_3",0.667605709588413,0.00350657170118019,0.260003381103667,0.270626722812076,0.79546874424073,0.313586808299606,0.250699364796177,0.360180772211699,0.301068298233245,0.0666426904774369
"9","Regression_4",0.044717679045103,0.0164318867984188,0.627720816463744,0.970837477481647,0.629941925251174,0.731537316729951,0.965801010055015,0.83774802329108,0.333787725838153,0.00644339012414785
"10","Regression_5",0.109951376645204,0.162575978205542,0.744994836084742,0.015883578580125,0.965631157585813,0.0327218917061078,0.243385830138218,0.529361932179271,0.733879161841577,0.0593446564144368
"11","Regression_6",0.00167182063941585,0.0242140671244882,0.624672562752055,0.149138838488389,0.873810922149045,0.674008619866833,0.613518115334975,0.354505212632929,0.467512230855123,0.0210281567950694
"12","Regression_7",0.742439311242097,0.803877369203499,0.204134862479114,0.865015087898305,0.488498091362743,0.92233868284471,0.551344453118792,0.715329286875222,0.112332251011848,-0.0140513153613986
"13","Regression_8",0.577181592557393,0.242140740849945,0.139404591703091,0.92313896288208,0.784664034490214,0.58570507777976,0.308471122850943,0.149060901031139,0.583047278555032,0.00538997222549786
"14","Regression_9",0.0803451819572516,0.962414139192566,0.696375208754891,0.38713225819281,0.933096052280303,0.140262038853776,0.731101416039709,0.407469060755446,0.217027350420928,0.0108976132610988
