"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","rucc","Adjusted_R2"
"1","Regression_1",1.96029542494281e-31,0.00095481700070724,0.0435611603344009,0.000699922720505154,0.329522297356096,0.313602635535692,0.761467829885332,0.454094559889062,0.754652356121329,1.255812330051e-14,0.0339278304361503
"2","Regression_10",2.72427545126667e-05,2.58688191213743e-05,0.953923552959653,0.00058988379187188,0.969065655570233,7.6328279754704e-08,0.81132503039857,0.994918733203219,0.00428498272924738,0.0290078244708956,0.0420930160676762
"3","Regression_11",0.0265592383500568,4.16841371675822e-09,0.834451520126053,0.00892611422717896,0.95559424031251,0.0124747887522094,0.868948186388866,0.650064564143037,0.543868253049486,0.0297008499361172,0.0236169206020372
"4","Regression_12",2.09685119345381e-07,0.0500628868149525,0.0177517680373717,0.168248090442168,0.146177119378827,0.0271808322200435,0.376200465095008,0.163100182452608,0.0706793227129617,0.0109923312680402,0.0163026717148854
"5","Regression_13",1.33557656288568e-08,7.83768201651519e-09,0.0932659007071146,0.1755007230163,0.27819617192311,0.280127456127314,0.021305997082794,0.769706037100175,1.12028683385293e-05,0.948266780393974,0.0208455823102628
"6","Regression_14",0.00290490426522036,1.52037301000955e-16,0.00574834890039314,0.822630062894383,0.0514503119534402,0.0810089698881435,0.700843407047582,0.51710874231995,0.0508220779356768,0.758840696043771,0.0200665904645766
"7","Regression_2",7.25276131968975e-21,0.0280738865222963,0.415467372905347,0.00993203285149485,0.997803525098796,0.00353567969761835,0.0680859013898005,0.432776626219786,0.0603285988309483,8.34788869938804e-07,0.0168070701500398
"8","Regression_3",0.000320279817118662,1.1811439801639e-06,0.565797667307754,7.98108106581595e-30,0.0277668562537452,1.36145234549439e-05,0.000173089223106296,0.00844219409085969,0.18690362053908,2.95883226737654e-08,0.111616740827663
"9","Regression_4",1.83848309897654e-26,1.36730235402209e-06,0.0620719174463744,0.467995224401172,0.0180774862550082,0.00301859807502203,5.6167447657403e-08,0.143692605445835,0.0377787015141354,0.215248472241779,0.0158907268697409
"10","Regression_5",1.49086335988171e-11,0.00144647326815857,0.0237377430266686,0.0187663499345382,0.0564425103395573,0.0240414951043149,0.0273569757140804,0.750505379985206,0.0114418251823253,0.00108579653583588,0.0191268245108408
"11","Regression_6",3.08698347659077e-17,4.0252112449949e-18,0.678556432378793,0.112516848898232,0.4495940275085,0.0368223212247452,0.370208969087823,0.126602939650974,0.0777090127685566,0.0244223538840814,0.0328319503982739
"12","Regression_7",2.42536516319843e-05,0.772636359015337,0.181601140347228,0.000343517230200809,0.195567958591746,0.265865764863348,0.396451961694449,0.985902413842563,0.902231091668266,0.346915038265342,0.00642857509844363
"13","Regression_8",0.000159635126284734,0.219767666433688,6.74837171052833e-08,0.00642352248878716,0.470473938496215,0.00399349815047116,0.162665287674731,0.864330680907101,0.000236147970142037,0.829782666910728,0.0390469516896162
"14","Regression_9",1.25557241577543e-06,2.86765179198376e-06,0.713812568148105,0.0194838045799172,0.803386727233354,4.59551797419303e-08,0.0900147959040589,0.20384243803864,8.6854168676526e-06,0.596336439983065,0.0441503619660227
