"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","rucc","Adjusted_R2"
"1","Regression_1",6.78820583436606e-40,1.73245920946525e-87,0.121160806705397,0.332692675647251,0.387864757172366,0.0148298361877916,0.240943647960015,0.379727159188387,0.920415834487721,0.000266163586064222,0.12232553341888
"2","Regression_10",2.5780241329311e-09,0.00275181563689398,0.0546616305341979,0.0317447044674805,0.575102514657203,1.13186789375877e-07,0.0951185698215021,0.589527943924308,0.0153662198112104,0.124228840051862,0.0188092699706676
"3","Regression_11",0.00041722968581839,0.0560565584552138,0.341034799182774,0.197899392939107,0.794444321436022,0.0662702492170494,0.650055327083732,0.694945806114696,0.393411640679412,0.041428168001026,0.00219978381840757
"4","Regression_12",4.19576215634587e-10,1.71420956402647e-09,0.341940068963033,0.154828638245814,0.62092630282638,0.0685172579275018,0.333744596504868,0.788383556853573,0.000427073186328862,0.29963486772446,0.0118590685429083
"5","Regression_13",1.70850025115769e-17,3.7238981809711e-29,0.347761496336285,0.313625044114254,0.158240999322281,0.258162441122753,0.0322022100137775,0.56847143973196,0.127973250711945,0.584497824087463,0.0413799377779558
"6","Regression_14",2.2827797533903e-13,1.52669497692726e-19,0.172199246963349,0.844232703478082,0.348426139627605,0.231354963809628,0.084617562149032,0.367075550350262,0.952831992935517,0.0727011578200521,0.0286096491800799
"7","Regression_2",6.37235238771865e-39,2.96890454249866e-87,0.0599864769175306,0.976649402065228,0.277554942803029,0.474208513015827,0.937350387257046,0.729158959224656,0.837517419701096,0.0213697666582105,0.108993657899864
"8","Regression_3",4.89066103807823e-05,1.13463160914592e-05,0.610161753039698,5.36710738095966e-06,0.214417625907138,0.244040402416192,0.997610204667187,0.983944937922482,0.0523631461447773,0.00168780706668938,0.0181613020445671
"9","Regression_4",1.59039927936655e-27,3.68107440831253e-42,0.242817121248669,0.334614440201909,0.107409576025812,0.000595521424426318,0.000243649672031071,0.101751286635704,0.102709424932608,0.0295772406556996,0.0614851524591016
"10","Regression_5",4.42299279294025e-10,4.17933310093848e-12,0.2879770479584,0.0676584958831889,0.31832898501139,0.19765080714151,0.0700876184386771,0.281290435029297,0.259692567050709,0.475009729055894,0.0152056527059146
"11","Regression_6",3.70318821593662e-27,1.06202315123448e-55,0.521198596928042,0.0414840256329996,0.124810578381246,0.117818067749042,0.017087349765649,0.168433228386486,0.00339797704717837,0.020406507211769,0.0801592864496211
"12","Regression_7",2.95098065043775e-08,3.32887419572077e-16,0.822881629450423,0.00419487484540094,0.775359918240697,0.187831952126167,0.565988615137424,0.986214165676136,0.648970084757685,0.997125674289606,0.0197183394478583
"13","Regression_8",1.88556087953681e-11,1.66441183414933e-11,0.25886371606396,0.179150846562663,0.601658710496896,6.2300903728129e-06,0.855700519152867,0.729618949560129,0.00218126035597197,0.963285140680287,0.0241997812268183
"14","Regression_9",0.000225832079913067,0.00448025566322456,0.823863823969465,0.011494150598261,0.404406159416368,0.00154026610282574,0.543874857782405,0.265303483789463,0.0925418859455546,0.288722342523997,0.0116673787051644
