"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","Adjusted_R2"
"1","Regression_1",2.11815884760643e-42,3.33511381061197e-06,0.106573058738758,0.000325464844014,0.498053770046104,0.196153688816047,0.850636215276413,0.593905448047322,0.563155831418418,0.0178562877193377
"2","Regression_10",0.000148909699904052,3.4299759948528e-06,0.957520074320033,0.000462523738301505,0.965126672855619,4.78065666506792e-08,0.836358282556179,0.947424570303963,0.00336066864679748,0.0410737448700476
"3","Regression_11",0.0779569791102118,2.38609298633286e-10,0.749142080130937,0.0073603209325943,0.978888267345498,0.00983409078132869,0.843944184697725,0.608007657520606,0.494677198960142,0.0225891985878888
"4","Regression_12",2.24763297614882e-06,0.0152523280492028,0.0249117651989974,0.145949184284105,0.174768582772365,0.0211360306284371,0.356704336277545,0.185232651410325,0.0579722337474236,0.0147834434396271
"5","Regression_13",4.77573523548986e-09,5.00756648165601e-09,0.0934402644590836,0.174622712323654,0.276701435628044,0.278613322998057,0.0212203150354384,0.768237953644003,1.09206859671041e-05,0.0211207041290089
"6","Regression_14",0.00172752649014415,8.42920210278301e-17,0.00541375528441504,0.815337203245216,0.0498860567463736,0.0787408823391122,0.697437154088174,0.511495215193206,0.049399618764909,0.0203170304437754
"7","Regression_2",2.9658414695447e-17,0.170350620360679,0.573863037662373,0.0153988128044379,0.854650785068436,0.00648229065802251,0.0586439442768454,0.517029217518912,0.0887979398706606,0.0103256923027785
"8","Regression_3",0.0177140310412594,4.58908352281064e-09,0.771018515255445,1.99595108086134e-30,0.0472562022683771,5.49773758789554e-06,0.000132864571559118,0.0133973416165874,0.131527735939424,0.104128553286663
"9","Regression_4",3.17446180689736e-29,3.15207720718934e-07,0.0710698589388978,0.445248704763975,0.0204086956323477,0.00349314975294482,5.06942650563551e-08,0.153060324084185,0.0418372193595238,0.0157417997766163
"10","Regression_5",7.39366119648489e-10,0.000149744395429994,0.0152174730097799,0.0144340110188472,0.0423893536646381,0.0173469474867769,0.0311068038698314,0.684179564158468,0.00827078581844738,0.0164441363704676
"11","Regression_6",3.71621770730681e-20,4.1822550613566e-20,0.596649008810724,0.0980151844109303,0.502114043348785,0.0297297492388823,0.3530420042202,0.142660314712867,0.0918509583953423,0.0317215838786857
"12","Regression_7",3.85062807308372e-05,0.896180725278901,0.197141462366144,0.000306187339800058,0.207782817175737,0.250439246454034,0.388745819564189,0.993621236439617,0.876226839419625,0.006460831182447
"13","Regression_8",0.00012815650518647,0.199588765558955,6.86938394425803e-08,0.00626818462426955,0.475106688059913,0.00386070453595937,0.161615577511734,0.859651082704174,0.000226872215427072,0.0393055675389398
"14","Regression_9",1.19585715333579e-06,1.2914402760503e-06,0.733634634880155,0.0186033957621137,0.787782191387915,4.00010777117124e-08,0.091430671557994,0.19853586192488,7.85424273706395e-06,0.0443443887613774
