"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access"
"1","Regression_1",0.365196610540207,-3.31285903767041e-05,-0.0549844511869498,-0.00206732189018167,-0.0422432064995026,0.157743260147049,-0.07233560886088,-0.0814662550284296,0.0376608439488832
"2","Regression_10",0.0108328195640012,1.47165672820763e-06,0.00686587681257837,0.00834977623104749,-0.00385715915503028,-0.00784203016734332,-0.00299870052090548,-0.00359288157002556,-0.00241221770911849
"3","Regression_11",0.0183004199934317,6.08599920431857e-06,0.00438752998917782,0.0411372715666669,-0.00808414424805954,-0.0138641526807623,-0.00799141089989526,0.00504618511019723,-0.00264137989345293
"4","Regression_12",0.00585215485849968,1.4030913826089e-05,0.010135050731927,0.0202117242092547,0.00722111100759026,-0.012682117183331,0.00482549184243293,-0.00215388311020563,0.000995390349317979
"5","Regression_13",0.0828879166033581,4.57162295245515e-06,0.010612760809461,0.0214343594460421,0.0055297718468709,-0.0110990014015853,0.0197821918145155,0.0321035980166117,-0.00215564801713214
"6","Regression_14",0.0072189030148074,2.71119647569181e-05,0.0175712232087298,0.00741413571264487,0.0140613924241133,0.00987181846068956,0.00202798297635851,-0.0119209368218431,-0.00453265042927406
"7","Regression_2",0.249285746058196,-1.56933990346072e-05,-0.0228628036438092,-0.120495694405425,0.00385198870249876,-0.0728866809093875,0.0241799921194556,0.00800199665906177,-0.0380562715126779
"8","Regression_3",0.0082693652521813,1.40541251905791e-05,0.0127893714151985,0.0151644929532607,0.00245314130313404,-0.013117714129879,0.0102484339351858,0.012556170733328,-0.00967743299663602
"9","Regression_4",0.0395942290981379,-1.17452517770201e-05,-0.00561015095664338,0.000512647344951062,0.00465190768619606,0.00455096918618218,-0.000389642330399092,-0.00286379651674805,0.0092244179480771
"10","Regression_5",0.0507151436503631,1.09684906898426e-05,-0.00606137315523402,0.0548324470132759,-0.000670097242651941,-0.0458614112206274,0.0171059165838544,0.0141775781382434,0.00522293313918482
"11","Regression_6",0.135099107245728,-2.38704991303382e-05,-0.0122545500498534,-0.0438986186199571,0.00331931205223077,0.0120821509967197,-0.00994046822160031,0.0280605297184822,-0.0150064852923384
"12","Regression_7",0.0117104070909867,2.1919963411189e-06,0.0266941828994996,-0.00432514227121065,0.0121377077199166,0.00234598465773752,0.00982667872225243,-0.00925489988989102,0.027542201210943
"13","Regression_8",0.00749699632097701,3.90080353441825e-06,0.0117295311700939,-0.000926120121721871,0.00180560512660596,-0.00495030286055908,0.00634267326980292,0.0138434824304168,-0.00358378456435268
"14","Regression_9",0.00754018070912495,5.01670947221773e-08,0.000987801955823617,0.00265604283135298,-0.000177330723912069,-0.00429077289490355,-0.000683530430178027,-0.00253688786919826,-0.00257991618142352
