"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","Adjusted_R2"
"1","Regression_1",0.0125351595879818,0.0136222283333137,0.327990270928308,0.383387890011586,0.288600913316641,0.0564616106991251,0.276616479163146,0.67286168285381,0.99632059836087,0.0153780423527238
"2","Regression_10",0.105091941437207,0.115755304822294,0.0173616802848808,0.343055190802347,0.127539006032928,0.06759387734665,0.50256485355921,0.411456055128914,0.213336967243789,0.0903347625624591
"3","Regression_11",0.0112535033150613,0.0120618397059986,0.793807251147267,0.102289012850992,0.0519035745567679,0.000733544585429363,0.192457454628684,0.156078739482898,0.471917282097037,0.130190222974322
"4","Regression_12",0.171191438795077,5.78332021308989e-05,0.350239304297911,0.0788488104561149,0.591427794277239,0.0123227405539712,0.536198009131605,0.526414811125382,0.470703777165761,0.147111488681906
"5","Regression_13",0.0657656045443085,0.000452003146650472,0.771098203515554,0.28369486213822,0.0936834215861689,0.615548331702604,0.770175201294372,0.328681333017653,0.555589681057507,0.0566681017021907
"6","Regression_14",0.59507333112624,1.30852857392567e-09,0.301721577326321,0.549436841549831,0.901116147172101,0.940755939205537,0.929105268596461,0.857625398268562,0.0670457566867751,0.177173703574929
"7","Regression_2",0.00118217331395513,0.409589683874677,0.978959446332763,0.285460564332285,0.642024290918824,0.113485721755249,0.451163252724147,0.993998592336345,0.107596243889087,-0.000341832827813526
"8","Regression_3",0.049455304083983,0.00511608409370163,0.324584349588856,0.137794007748366,0.61219596016751,0.0071589015426033,0.592008720241085,0.351485973708089,0.0933350611370544,0.124303441820919
"9","Regression_4",0.0577978089721184,0.129740554509076,0.71433355030203,0.376444006434647,0.742219460091925,0.744712059376828,0.710056486305596,0.958193640883126,0.99747988696698,-0.0186729803311239
"10","Regression_5",0.13641656797757,0.000145077369247697,0.710972556407539,0.0193414543953034,0.696219663497343,0.00369744303346558,0.404550970886105,0.118465720215564,0.887923030033979,0.143283990291637
"11","Regression_6",0.000147342589568345,0.605775357875605,0.924286158348125,0.217144889399367,0.461528387578607,0.397683892677886,0.53270221250061,0.42863651805691,0.118619395646112,-0.00568064248995248
"12","Regression_7",0.429453535735166,0.419063951405039,0.227902862739494,0.867578882622298,0.60284254510923,0.52798311339709,0.864018774815318,0.97381435158795,0.196928877023126,-0.0130848777644044
"13","Regression_8",0.331004969136111,0.358773718743935,0.311179259409608,0.99865671151062,0.911443650377392,0.25931607873721,0.415954652194213,0.806872857534565,0.609206088651331,-0.00613893414972244
"14","Regression_9",0.0817730032364487,0.333636645671515,0.355674360696066,0.903417887626346,0.518148435864296,0.0967093931373675,0.67423995813608,0.396105745957378,0.130719267142237,0.0210304099074974
