"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","rucc","Adjusted_R2"
"1","Regression_1",0.0352743013147954,0.00729647915585689,0.315970794818292,0.39125804420442,0.305426961474465,0.0754535944379709,0.263559658960609,0.618313271106875,0.926679603044552,0.214966540985777,0.0177211540745751
"2","Regression_10",0.0745255046719322,0.181430533810173,0.016703925085235,0.338025414186539,0.121668655931597,0.0831058654889699,0.515848814082255,0.383264718512321,0.240563747241893,0.391612200341001,0.0892877568564993
"3","Regression_11",0.0498819020493689,0.00361884144532912,0.822253732640283,0.105255923198212,0.0579292367028902,0.000350295391656037,0.174247949611418,0.12162463298669,0.379800949360216,0.0449978018886629,0.141672006330334
"4","Regression_12",0.167030806461807,0.000114166401901061,0.348948545278618,0.078985708901156,0.597376635220484,0.0138291947859651,0.533413011885346,0.537804460698372,0.484623553255267,0.808915334395322,0.143590920036149
"5","Regression_13",0.0731850094203748,0.000683959053420456,0.77068477843049,0.284426796401922,0.0941722896638856,0.622606056486402,0.769567340415888,0.332616765072611,0.561014139926191,0.948669859106993,0.0525479411968978
"6","Regression_14",0.687548761541613,2.02940023247945e-09,0.306552434448206,0.553749934400385,0.891058064976365,0.90682843396938,0.921158342952407,0.837275289154532,0.0634619735407851,0.664834438290309,0.174246402437622
"7","Regression_2",0.000363642686249205,0.673008094132116,0.953240027691515,0.292984025174392,0.605141461922232,0.157285956371338,0.426125941530509,0.923444418449912,0.138728423745483,0.0928937967414959,0.00766325648301636
"8","Regression_3",0.0120491127316146,0.0259326231739961,0.298627881006373,0.126668923186288,0.56041692839136,0.0134196420832962,0.550939940867461,0.426756807478442,0.131594621824385,0.0192938244499317,0.141375560058564
"9","Regression_4",0.0532388984251048,0.117868221646837,0.709162546838671,0.374684705533937,0.75192549386093,0.716206156388109,0.717697909769475,0.938645518685375,0.972514742951864,0.687367569351874,-0.0224127642514209
"10","Regression_5",0.130166156425622,0.000284441602607874,0.715850744000786,0.0194034241200773,0.690272638506112,0.00432114770594592,0.401647407195609,0.124327560115715,0.870035238952356,0.763688810049206,0.139868256892535
"11","Regression_6",0.000364946895460064,0.684338254219086,0.930756889763064,0.216106531344702,0.470175069551,0.378042821394074,0.527143686918837,0.41554348352318,0.112912331717794,0.676844076702147,-0.009320596566885
"12","Regression_7",0.709022678997021,0.254680220811426,0.23803194660401,0.852279388061869,0.570228785968488,0.433614083921803,0.892169726297621,0.950775732223745,0.24152404699998,0.124900288395118,-0.00705052996063804
"13","Regression_8",0.201969694036645,0.551369149658615,0.298733800885471,0.988403332232531,0.880185181414996,0.320420991479849,0.39792017557031,0.870036998124136,0.683035912990367,0.189699646227602,-0.00294067215919003
"14","Regression_9",0.0639828118947717,0.431761949034575,0.349657602455452,0.910160764616128,0.505788529028876,0.113221483944469,0.686347018359021,0.37480839571226,0.146323394043215,0.498692463171466,0.0187129627697605
