"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","Adjusted_R2"
"1","Regression_1",3.53754035421271e-09,6.50361774082446e-12,0.465166757935661,0.485789299017019,0.0855382164358001,0.263050829728298,0.127371481179512,0.597424437757865,0.404146590587891,0.206599082436614
"2","Regression_10",0.0100032324466563,0.680122447785183,0.042244566783641,0.420225257744456,0.0333423006352752,0.0572509955786779,0.177757264631178,0.184520394974729,0.0914712684107868,0.0875669104380344
"3","Regression_11",0.0116183740055953,0.278332508623969,0.621519806251916,0.000991331600237401,0.0622525649582634,0.162443238709776,0.198490561648373,0.707011164978838,0.135745513473661,0.0959768703552917
"4","Regression_12",0.00111783969002657,0.0928264039352146,0.966641415246475,0.0451382633293749,0.971262206758855,0.00597038690493411,0.860443594445783,0.86514329123992,0.297644243048109,0.0645352956322048
"5","Regression_13",2.17560997844322e-06,1.4079404000192e-06,0.806605404151884,0.400572911924418,0.0968228936278081,0.0429262555742156,0.544190216383107,0.420180249388431,0.165169739206852,0.110371104799639
"6","Regression_14",0.00036602452598955,0.012173062875724,0.303687288731191,0.591013756085524,0.400095160624862,0.053131088311771,0.905820644755401,0.906357896010408,0.219491817874843,0.0359965780797441
"7","Regression_2",4.97245414243879e-05,2.03546226245534e-05,0.433389537610993,0.773574585360318,0.249947240320388,0.077835393487776,0.85788046556447,0.563442301839524,0.239734268807714,0.0755808543552837
"8","Regression_3",0.000849499942925649,0.174431271086489,0.766110118948576,0.111688517622084,0.0948597373690845,0.0179269826215655,0.0995896050318978,0.885387969240183,0.166948658249812,0.0616586710859455
"9","Regression_4",0.0564531275477459,3.90539275649265e-05,0.946422305814979,0.336075365558404,0.824491735284337,0.953192967808586,0.536253490443099,0.352723629521285,0.588502730589753,0.0495898040856054
"10","Regression_5",0.00433431466794839,0.0434589663023084,0.929568110331881,0.000560774549497735,0.904614823473891,0.00185996328789022,0.116501294262087,0.228030241875106,0.737410225994486,0.116357731409079
"11","Regression_6",5.2005238937465e-09,2.90977522363087e-09,0.537614298835419,0.665452420811034,0.185436423931905,0.0210481054594492,0.490482098852343,0.900261531283747,0.0874737823434507,0.147169984067603
"12","Regression_7",0.0223808402854059,0.0137193664347849,0.809674043890176,0.680559649457613,0.299822836403688,0.769025114791939,0.503782921613518,0.710215938997263,0.89472588329043,0.00670292640426107
"13","Regression_8",0.178273069353444,0.130844725044879,0.623779974471222,0.921523753715866,0.294266768094445,0.154135541992069,0.0869511467758771,0.901525733821136,0.76051611170856,-0.00140328357131092
"14","Regression_9",0.153272784776588,0.591344371812674,0.448575281333775,0.255712310881521,0.46293505648686,0.387335895209419,0.90831374499864,0.517532118968968,0.163838425101683,0.0107793018357665
