"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","Adjusted_R2"
"1","Regression_1",1.1675038227291e-18,9.03797426174105e-08,0.467053213337744,0.435878707490953,0.319101853587483,0.554311951707869,0.348821452073529,0.454594280652301,0.60841934139701,0.00723378130525743
"2","Regression_10",0.00329587362276598,3.40772985159188e-10,0.816519428668877,0.000649483947940491,0.633402117222229,1.81463151663571e-07,0.953173177840529,0.736248472114651,0.00426515301181156,0.0469408449978513
"3","Regression_11",0.353953684613659,4.38422391721761e-14,0.287907987125256,0.0244204331504609,0.648682044282727,0.000611185257481311,0.15444470965346,0.744838623156672,0.806673805197722,0.0322273292000294
"4","Regression_12",0.00632154697060909,1.73385868398917e-09,0.135858236717045,0.204813603885954,0.118795529450608,0.00325666494017936,0.154328580242836,0.400181628854775,0.064348443123455,0.0266691654020375
"5","Regression_13",4.55608462378763e-05,6.50598845191599e-26,0.818231833166921,0.454577288763771,0.389846276011314,0.137574213542156,0.0904520837642199,0.71236777500587,0.00273940050225996,0.035879960456022
"6","Regression_14",0.0855941320957247,2.44806469207824e-35,0.000463704142160922,0.324236693429088,0.144078362766018,0.60624828367423,0.088639404410575,0.487061734106691,0.186721365605726,0.0489515687400418
"7","Regression_2",2.84356534099301e-05,1.63420848022352e-27,0.00177593604447383,0.567426451274658,0.131036214963928,0.0208122224607848,0.0526858007503673,0.76135030125679,0.0280686202089993,0.0350655140116833
"8","Regression_3",0.00294002362613839,2.26291156101879e-20,0.731942964047757,5.07191270222523e-17,0.0364930740090457,3.91665552155999e-11,0.0226650843867465,0.164741960988311,0.0262940432898612,0.110374044694232
"9","Regression_4",2.68643939013752e-19,0.000715211290256947,0.719506469885254,0.849059415317602,0.0779575045783809,2.81846813519714e-06,1.31429160039273e-06,0.0974873846628354,0.0757975029331977,0.0183461866662058
"10","Regression_5",0.000738691165010909,1.71177925818157e-14,0.616263767679428,0.000700291694349611,0.810731600632242,0.00534919486474521,0.382487025242838,0.189286259702008,0.207830439822232,0.0353194789868291
"11","Regression_6",1.7483138189651e-14,0.288786868942919,0.42381503429889,0.250840009908702,0.261938554839623,0.423571794771223,0.0241832268508377,0.221536557872128,0.00300915297770629,0.00383679239865864
"12","Regression_7",0.000161581624948638,9.22949396377336e-10,0.119262854975722,0.000788342135142209,0.750431613726761,0.00389240804995897,0.549386281942906,0.739588141536967,0.334611697913994,0.028979686071489
"13","Regression_8",0.000178399723393783,2.48339053377794e-06,0.000470593128857717,5.68891145161941e-05,0.341901054394327,1.72328110216399e-07,0.11483746773267,0.465174494161371,0.001204017669798,0.0571453576285035
"14","Regression_9",0.00396668548073552,1.39383889941541e-09,0.458063599679032,0.00555147984816429,0.590458405370929,5.75599220489285e-07,0.55949129675643,0.906758137511884,0.000696347378371025,0.0457317659442454
