"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","rucc","Q5","hispanic","native","black","Q49","Adjusted_R2"
"1","Regression_1",0.000176525162466941,0.340207881809926,0.287611393888917,0.199051555882008,0.561874962836837,0.579890878072639,0.583247681793573,0.415496179350255,0.370892768303581,8.21459891696079e-12,0.00276165075754708,0.0866933095989126,0.360395572074104,2.65284757392817e-05,1.69126273428082e-46,0.0945866376370851
"2","Regression_10",0.00189177223039419,0.000315557453257284,0.347260210440828,0.00160316360758078,0.239115887020272,3.06289307192121e-06,0.386937273167826,0.999958518709275,0.0281040745380948,0.116195926423574,0.000831848544353738,0.000480566779058289,0.261959896468493,0.242618739323971,0.00184481739448183,0.0616180470927995
"3","Regression_11",0.0909151609868934,2.77092962385436e-06,0.0850181388579044,0.0496191831160489,0.264679691457294,0.00342511235176361,0.0271809285505674,0.528749001480318,0.727374540775372,0.116310830200904,0.000507232792855458,0.0773290870692048,0.863597916121263,0.275680180110131,0.000571823616330311,0.0444755242386743
"4","Regression_12",0.0102992907404372,0.00254998268923177,0.0276475911519829,0.396862284612989,0.0208052881887949,0.0152289508535276,0.0175731961535729,0.251831542572368,0.236648258472389,0.46754176016765,0.000215648819712123,0.123707645489351,0.733796636531393,0.00290256131454731,1.24610776239182e-06,0.0466227707054306
"5","Regression_13",0.00508058236584413,2.13483557759239e-11,0.577354451991947,0.851568108522408,0.0912565423810252,0.336182674351467,0.683282323183719,0.48383423628623,0.000115924964386137,0.351084697697732,1.72136368728296e-05,0.0677616974979031,0.0546931092202669,1.43889104020963e-05,3.51506405806951e-14,0.0755867583780124
"6","Regression_14",0.77758383864357,2.99007105470099e-29,0.000695278432551476,0.310252700881687,0.195620177678688,0.677607043866888,0.108613391666313,0.504501127276456,0.183297911691761,0.234024622326272,0.175879104142343,0.0104990519984183,0.308647449052033,0.953720181936101,0.034743428197626,0.0512884605768441
"7","Regression_2",0.143934597977148,9.51586711641736e-23,0.00701460562913851,0.741089903976313,0.368355802978293,0.0565738604685045,0.217368960279041,0.905960548006892,0.080285841782906,7.61435251737352e-06,5.59754461664298e-07,0.779808346232531,0.975010785349214,0.000252522126521304,0.074262233902876,0.0502895586225958
"8","Regression_3",3.98775254916214e-06,9.45545616369946e-10,0.144767164540429,3.70295672361773e-15,0.00113595011103324,7.33920855942367e-09,0.000688403497033497,0.0525669567294913,0.232311064124523,0.00191046996715554,4.74514754895921e-09,0.0222801086933473,0.669161055813987,6.15991965282198e-06,0.0307876154036153,0.137562749983778
"9","Regression_4",1.25250345992117e-24,0.221418656502576,0.185768422409313,0.3272118794388,0.978907849903498,0.00042763744182622,0.00641551600707727,0.334034817761921,0.802738765210472,0.053911376823725,2.43580496938518e-30,0.000121192209468357,0.732126623640993,1.38431841078996e-07,2.54084491011022e-09,0.105343823710652
"10","Regression_5",0.00105184793102241,1.87415204226925e-05,0.69700123202618,0.00461495968272498,0.460671415021385,0.0322030582033056,0.718177680402164,0.0878024813674304,0.69490827623081,0.94436076574291,3.37273558281056e-07,0.151830245583602,0.806259684657508,6.9636331745986e-07,3.10304323085954e-08,0.0689437409209874
"11","Regression_6",2.11204209248306e-08,2.79587095953341e-05,0.142781969718311,0.113076592150487,0.699856779474577,0.209060043404861,0.341435514735255,0.309845668881137,0.017540742248782,0.00224464644612905,2.15813673472607e-06,0.58153138542021,0.693817747968185,0.00390606344683872,2.36592690843816e-15,0.0435941257246493
"12","Regression_7",0.00021583415529931,6.13362318458687e-05,0.0413155226921848,0.00166527172299595,0.865556451291328,0.0120204334779608,0.981141572244316,0.917617370346038,0.601230148584332,0.45772371115553,0.00399601776015467,0.282255046772763,0.542278987262957,0.503238450065654,0.0174218243959228,0.0349079937217234
"13","Regression_8",0.00193994146958247,0.0063488780966019,9.06323451390719e-05,0.000148685785571197,0.164858478829743,9.86354043371078e-07,0.0304058231549412,0.588130473116709,0.0048754215351083,0.719264116236352,0.0236905076377025,0.18804556230483,0.979847936610141,0.161960367741872,0.00234630807939886,0.0635440958064083
"14","Regression_9",0.0160213276279763,0.000172140993500518,0.22812850058419,0.00832690130407283,0.317867509308306,3.5680571851795e-06,0.220454184619327,0.741126113200069,0.00319704636642665,0.788440766906724,0.0222043503162814,0.00539712949738113,0.232618545220932,0.801168477829705,0.00097807170564596,0.0547194500252227
