"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access","rucc","Adjusted_R2"
"1","Regression_1",0.000385494938030313,0.268690516989787,0.274525099408439,0.957535715008044,0.353438794448548,0.0136809777771719,0.0700920988083204,0.231244085907831,0.451910162001989,0.101346810683931,0.0708175189877297
"2","Regression_10",0.0200583300157409,0.258906656958082,0.0134829589881656,0.013304250605078,0.0936955183330474,0.0164632039569907,0.172318755802868,0.272861435602909,0.308477987041693,0.662296929848659,0.148849489370376
"3","Regression_11",0.426810875012377,0.0215859788726595,0.599325771158241,1.9657999404253e-05,0.236325245217034,0.0779747381784019,0.173460220444257,0.502786911961966,0.561971751657869,0.0321590414316836,0.155691037789681
"4","Regression_12",0.567464736205724,7.75725564458127e-05,0.192384251707387,0.0334318715300527,0.277130797235211,0.178083329156291,0.425127068461383,0.793045858201789,0.842805665840907,0.567806828880484,0.129853119855203
"5","Regression_13",0.0315603947066573,0.740039100295654,0.641791460759245,0.444689406280835,0.788700812364884,0.7191126486884,0.27541999056206,0.270341300207191,0.944026434120343,0.592875694366154,-0.0205949453574417
"6","Regression_14",0.806373546307137,6.14332562624032e-05,0.257008781167403,0.693182066733939,0.275445446695831,0.585141253154444,0.868925113272126,0.52777814878101,0.718138971991031,0.935165329523457,0.0700604920646248
"7","Regression_2",8.91824797746401e-05,0.1798164845495,0.601887678275427,0.0166611763019978,0.957496098040957,0.177794264846765,0.423876079478698,0.968603302218911,0.331385613519994,0.0474278813774544,0.0152928617098385
"8","Regression_3",0.336684776756427,0.0167901383929177,0.239940618198526,0.255930324731272,0.843513396984763,0.424273005142102,0.227504218080655,0.429549672077426,0.382052730297891,0.0345078803713894,0.0807859212866041
"9","Regression_4",0.0445573194797194,0.016598677079423,0.632319887640573,0.968106632731565,0.636837606080063,0.712155233879745,0.971195367406385,0.824771337841203,0.32529030928226,0.776707263802005,0.00243845038529478
"10","Regression_5",0.06126201812783,0.28406051255891,0.763231396226905,0.0150934340847276,0.935065378979422,0.045282964704576,0.231001398366246,0.582241868243367,0.660763963387843,0.201696591502453,0.0619641505441411
"11","Regression_6",0.00342499571608398,0.0363660454288161,0.619461945670858,0.1483825771662,0.863780519201054,0.708211682783895,0.60705241234197,0.342476517218207,0.449065044285712,0.662259912321127,0.017558676137355
"12","Regression_7",0.805751479809087,0.454023001274691,0.215589571535148,0.842446395832942,0.44453752437985,0.902042786743719,0.583255496046385,0.817327359548195,0.154044420798064,0.0275982755845375,0.00299729664541148
"13","Regression_8",0.399271344724079,0.384505760397497,0.13320798077224,0.934735982873218,0.81207934497492,0.671288089551426,0.295141271442088,0.171056955536371,0.648831231560479,0.235339907225293,0.00719246410356955
"14","Regression_9",0.0891634665603755,0.972540744382508,0.696356003363423,0.387869555298947,0.932085225524374,0.144466637073415,0.73261795205644,0.407648793946617,0.22087692402743,0.960293965458529,0.00657026792467508
