"","Regression","(Intercept)","income_weekly","locally_grown","organic","local_econ","afford","healthy","social_resp","access"
"1","Regression_1",0.349124445778697,-2.48626393111993e-05,-0.0216351695133356,-0.0529465345336099,-0.00818507424049984,0.0190677837789436,0.00205732921514477,-0.00840932922059144,0.00677292528093784
"2","Regression_10",0.00804975618449193,2.08520580447904e-06,-5.99552379454053e-05,0.0043314150917107,-4.43506576448308e-05,-0.00677614579848747,-0.000189502959838699,-8.73326493096362e-05,-0.00288660993088369
"3","Regression_11",0.00877091303484681,6.68336802346204e-06,-0.000844553444398625,0.00777619477760234,-6.29868697844916e-05,-0.0075064627296074,0.00042376704969338,-0.00159398228928287,-0.00157628052275445
"4","Regression_12",0.025033270198586,2.7127904239582e-06,0.00629411681808897,0.00447956061239999,0.00343143340848903,-0.00712013643657132,0.00210764665288582,0.00437367202920434,-0.00464951612829509
"5","Regression_13",0.0577142203221586,1.21896063473074e-05,-0.00875950313092051,-0.00778276320211647,0.00511828061507071,0.006224735324503,-0.00980801330098746,0.00181017225008506,0.0200939866844435
"6","Regression_14",0.0287696736307797,1.62336899755235e-05,0.0135550985595099,-0.00124911287583113,0.0086104588617772,0.00942524262025674,-0.0015435773658164,0.00376279337332729,0.00836771437997376
"7","Regression_2",0.203229938751931,-6.94165646664384e-06,0.00714639120882518,-0.0338201383626956,-0.00209788384920285,0.0380870730202626,0.0195895556418991,0.00968806328793774,0.0189028980468962
"8","Regression_3",0.0173184932313824,9.07107122938597e-06,0.00112790347951102,0.0492389172338631,0.00693113288379888,-0.0194097262882709,0.012082314291116,0.0112815807499743,-0.00510854999335959
"9","Regression_4",0.0733637335721335,-7.02106066451799e-06,-0.00621047822903644,-0.00288337364417882,-0.007190999111022,-0.0110620397896934,-0.0153094541349745,-0.00578385131661549,-0.0061199095221398
"10","Regression_5",0.0611712074556467,7.95299704691381e-06,-0.0127723194929737,0.0141348952687092,-0.00962440916660462,-0.0137772720293359,-0.00924539197982914,-0.00251757110980095,-0.0121457878403761
"11","Regression_6",0.101744271056376,-2.14880491304592e-05,0.00309008858078564,-0.0106096049916331,-0.00353180222271924,0.0139706255746469,-0.00442006915539999,-0.0100727802410343,-0.00860352793621412
"12","Regression_7",0.0374504915883676,-2.50783676984705e-07,0.00622290220312539,0.0191408406907814,0.00547748780684968,-0.00610187449604815,0.00338938022958176,-4.53818783616698e-05,-0.000656696556065647
"13","Regression_8",0.0165815756850395,1.17343436605945e-06,0.0124117652550805,0.00689497774425801,0.00147791137018914,-0.00730454724778408,0.00261981831540425,-0.00047769978945497,-0.00740568236895155
"14","Regression_9",0.0116780095095642,2.46202603271503e-06,0.000433712943683697,0.00329472619073954,-0.000309198828696586,-0.00771725550281404,-0.00175380249887868,-0.00192835319607699,-0.00498496359321124
